"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Robust Hyperspectral Image Classification Using a Multiscale Transformer With Long- and Short-Distance Spatial–Spectral Cross Attention","D. Peng; H. Feng; J. Wu; Y. Wen; T. Han; Y. Li; G. Yang; L. Qu","Ministry of Education Key Laboratory of Intelligent Computation and Signal Processing, Information Materials and Intelligent Sensing Laboratory of Anhui Province, Anhui University, Hefei, China; Ministry of Education Key Laboratory of Intelligent Computation and Signal Processing, Information Materials and Intelligent Sensing Laboratory of Anhui Province, Anhui University, Hefei, China; Ministry of Education Key Laboratory of Intelligent Computation and Signal Processing, Information Materials and Intelligent Sensing Laboratory of Anhui Province, Anhui University, Hefei, China; Ministry of Education Key Laboratory of Intelligent Computation and Signal Processing, Information Materials and Intelligent Sensing Laboratory of Anhui Province, Anhui University, Hefei, China; Ministry of Education Key Laboratory of Intelligent Computation and Signal Processing, Information Materials and Intelligent Sensing Laboratory of Anhui Province, Anhui University, Hefei, China; Ministry of Education Key Laboratory of Intelligent Computation and Signal Processing, Information Materials and Intelligent Sensing Laboratory of Anhui Province, Anhui University, Hefei, China; East China Institute of Electronic Engineering, Hefei, China; Ministry of Education Key Laboratory of Intelligent Computation and Signal Processing, Information Materials and Intelligent Sensing Laboratory of Anhui Province, Anhui University, Hefei, China",IEEE Transactions on Geoscience and Remote Sensing,"21 Oct 2024","2024","62","","1","14","Hyperspectral images (HISs) have continuous spectra that can be used to accurately identify the land cover contained within them. Generally speaking, small-scale spectral features can reveal local information within the spectral sequence, while large-scale ones capture global information across spectra. Recently, the proposed Transformer-based hyperspectral image classification (HIC) methods have shown superiority over convolutional neural networks (CNNs) in processing long spectral sequences but struggle with extracting local spectral details. Meanwhile, the multiscale information of the spectral dimension has not been fully explored. To address these issues, we propose a multiscale spatial–spectral Transformer named LSDnet. First, a bilateral filtering-based feature enhancement (BFFE) module is utilized to promote the reliability of shallow features. Then, a long- and short-distance spatial–spectral crossattention (LSDSC) module is proposed to capture both local and global HSI features. Moreover, a multiscale spectral embedding (MSSE) module is introduced to enrich local details among adjacent spectral bands. To enhance the model generalization, the spectral position bias (SPB) coding is designed in the Transformer encoder, adapting to variable spectral numbers of different HSIs. Furthermore, the traditional data partitioning strategy for HIC suffers from information leakage. Therefore, we propose a new data partitioning method to prevent the overlapping between the training and testing data. Meanwhile, an adjustment factor is utilized to balance the number of samples in each category, while a dynamic equilibrium loss (DEL) function is proposed to ensure the training contribution of every category. Experiments on three public datasets validate the rationality and effectiveness of our proposed HIC method. The codes will be available at: https://gitee.com/pdypdy/lsdsc_-tgrs.git.","1558-0644","","10.1109/TGRS.2024.3474736","National Natural Science Foundation of China(grant numbers:62271003,62201008); Sci-Tech Innovation 2030 Agenda(grant numbers:2022ZD0205200,2022ZD0205204); Natural Science Foundation of Education Department of Anhui Province(grant numbers:KJ2021A0017); University Synergy Innovation Program of Anhui Province(grant numbers:GXXT-2021-001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10706124","Hyperspectral image classification (HIC);long- and short-distance attention;multiscale embedding;spatial–spectral cross attention;transformer","Feature extraction;Transformers;Data mining;Correlation;Hyperspectral imaging;Training;Convolution;Accuracy;Visualization;Vectors","","1","","53","CCBYNCND","7 Oct 2024","","","IEEE","IEEE Journals"
"An Improved Empirical Model for Retrieving Bottom Reflectance in Optically Shallow Water","C. Yang; D. Yang","South China Sea Marine Prediction Center, State Oceanic Administration (SOA), Guangzhou, China; State Key Laboratory of Oceanography in the Tropics, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou, China",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"19 May 2017","2015","8","3","1266","1273","Satellite remote sensing has become an essential observing system to obtain comprehensive information on the status of coastal habitats. However, a significant challenge in remote sensing of optically shallow water is to correct the effects of the water column. This challenge becomes particularly difficult due to the spatial and temporal variability of water optical properties. In order to model the light distribution for optically shallow water and retrieve the bottom reflectance, a parameterized model was proposed by introducing an important adjusted factor g. The synthetic data sets generated by HYDROLIGHT were utilized to train a neural network (NN) and then to derive the adjustable parameter values. The parameter g was found to vary with water depth, water optical properties, and bottom reflectance. Specifically, it revealed two obvious patterns among the different benthic habitat types. In coral reef, seagrass, and macrophyte habitats, g exhibited a remarkable peak at about 550 nm. The peak has a value of about 2.47-2.49. In white sand or hardpan habitats, g spectra are relatively flat. The semi-empirical model was applied to calculate the bottom reflectance from the new weighting factor, the downward diffuse attenuation coefficient, and the irradiance reflectance just below the sea surface collected in Sanya Bay in 2008 and 2009. Good agreement between the predicted and measured values demonstrated that the weighting factor g is an effective tool to modify the model for interpreting and predicting bottom reflectance without the need for any localized input (R2 > 0.79).","2151-1535","","10.1109/JSTARS.2015.2398898","U.S. Department of Commerce(grant numbers:BS123456); National Basic Research Program of China (973 Program)(grant numbers:2013CB956503); National Natural Sciences Foundation of China(grant numbers:41176161,U1405234); State Oceanic Administration South China Sea Branch Science and Technology Director Foundation(grant numbers:1338); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7047811","Coral reef;optically shallow water;seagrass;water column correction;Coral reef;optically shallow water;seagrass;water column correction","Attenuation;Optical attenuators;Adaptive optics;Mathematical model;Optical scattering;Optical sensors;Remote sensing","","5","","15","OAPA","24 Feb 2015","","","IEEE","IEEE Journals"
"Interpretable Anomaly Detection in the LHC Main Dipole Circuits With Nonnegative Matrix Factorization","C. Obermair; A. Apollonio; Z. Charifoulline; L. Felsberger; M. Janitschke; F. Pernkopf; E. Ravaioli; A. Verweij; D. Wollmann; M. Wozniak","CERN, Meyrin, Switzerland; CERN, Meyrin, Switzerland; CERN, Meyrin, Switzerland; CERN, Meyrin, Switzerland; CERN, Meyrin, Switzerland; Graz University of Technology, Graz, Austria; CERN, Meyrin, Switzerland; CERN, Meyrin, Switzerland; CERN, Meyrin, Switzerland; CERN, Meyrin, Switzerland",IEEE Transactions on Applied Superconductivity,"8 Mar 2024","2024","34","4","1","12","CERN's Large Hadron Collider (LHC), with its eight superconducting main dipole circuits, has been in operation for over a decade. During this time, relevant operational parameters of the circuits, including circuit current, voltages across magnets and their coils, and current to ground, have been recorded. These data allow for a comprehensive analysis of the circuit characteristics, the interaction between their components, and their variation over time. Such insights are essential to understand the state of health of the circuits and to detect and react to hardware fatigue and degradation at an early stage. In this work, a systematic approach is presented to better understand the behavior of the main LHC dipole circuits following fast power aborts. Nonnegative matrix factorization is used to model the recorded frequency spectra as common subspectra by decomposing the recorded data as a linear combination of basis vectors, which are then related to hardware properties. The loss in reconstructing the recorded frequency spectra allows to distinguish between normal and abnormal magnet behavior. In the case of abnormal behavior, the analysis of the subspectra properties enables to infer possible hardware issues. Following this approach, five dipole magnets with abnormal behavior were identified, of which one was confirmed to be damaged. As three of the other four identified magnets share similar subspectra characteristics, they are also treated as potentially critical. These results are essential for preparing targeted magnet measurements and may lead to preventive replacements.","1558-2515","","10.1109/TASC.2024.3363725","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10428027","Large Hadron Collider (LHC);machine learning;nonnegative matrix factorization (NMF);quench protection","Superconducting magnets;Magnetic circuits;Integrated circuit modeling;Large Hadron Collider;Machine learning;Anomaly detection;Magnetic variables measurement","","1","","43","CCBY","8 Feb 2024","","","IEEE","IEEE Journals"
"A High-Precision Wavelength Demodulation Method Based on Optical Fiber Fabry-Perot Tunable Filter","W. Zhu; J. Wang; J. Jiang; X. Liu; T. Liu","College of Precision Instrument and Optoelectronics Engineering, Tianjin University, Tianjin, China; College of Precision Instrument and Optoelectronics Engineering, Tianjin University, Tianjin, China; College of Precision Instrument and Optoelectronics Engineering, Tianjin University, Tianjin, China; Tian Jin Global Magnetic Card Co., Ltd., Tianjin, China; College of Precision Instrument and Optoelectronics Engineering, Tianjin University, Tianjin, China",IEEE Access,"6 Sep 2018","2018","6","","45983","45989","A high-precision wavelength demodulation method based on optical fiber Fabry-Perot tunable (FPT) filter is proposed for the fiber Bragg grating temperature sensing system. This algorithm uses the original sampling data obtained from the data acquisition card to simultaneously calculate the transmission spectrum of the F-P etalon (FPE) and the reflection spectrum of the fiber Bragg grating (FPG) sensors. In each scanning cycle, the transmission spectrum wavelength of the F-P etalon (FPE) is calibrated dynamically in real time, the reflectance spectrum central wavelength of the FPE sensors is calculated by referring to the transmission spectrum wavelength of the FPE that has been calibrated. It effectively weakens the perturbation effect caused by the nonlinear and non-reproducibility of narrowband light source from the fiber FPT filter, reduces the numerical error and effectively eliminates the pseudo peak of the FPE, and greatly improves the measurement accuracy of the system. Most programming languages can implement this algorithm. A temperature sensing experiment for the proposed method has been carried out. Results showed that the demodulation precision by our method could reach up to ±0.2 °C, wavelength demodulation accuracy 3 pm.","2169-3536","","10.1109/ACCESS.2018.2866060","National Key Instrument and Equipment Development Projects(grant numbers:2013YQ030915); National Natural Science Foundation of China(grant numbers:61227011,61378043,61475114,61108070,11004150); Natural Science Foundation of Tianjin City(grant numbers:13JCYBJC16200); Tianjin Science and Technology Support Key Project(grant numbers:11ZCKFGX01900); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8438872","Data acquisition card;demodulation algorithm;fiber Bragg grating;Fabry-Perot;F-P etalon;fiber F-P tunable filter;temperature sensing system","Demodulation;Data acquisition;Light sources;Fiber gratings;Optical sensors","","23","","15","OAPA","17 Aug 2018","","","IEEE","IEEE Journals"
"A Stepwise Framework for Fine-Scale Mining Area Types Recognition in Large-Scale Scenes by GF-5 and GF-2 Images","D. Dong; D. Ming; L. Xu; Q. Qiao; Y. Zhang","School of Information Engineering, China University of Geosciences (Beijing), Beijing, China; School of Information Engineering, China University of Geosciences (Beijing), Beijing, China; School of Information Engineering, China University of Geosciences (Beijing), Beijing, China; Chinese Academy of Surveying and Mapping, Beijing, China; School of Information Engineering, China University of Geosciences (Beijing), Beijing, China",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"11 Jul 2023","2023","16","","5714","5727","Quickly obtaining fine-scale mining area types information in large-scale scenes is significant for dynamically detecting mineral resources. Currently, mining area types recognition methods encounter challenges such as low recognition accuracy and difficulty detecting small mining areas. To address these issues, this article proposes a stepwise top-down mining area types recognition framework. The framework consists of two steps. First, a GF-5 spectral index named the Normalized Difference Mining Area Index (NDMAI) is constructed to obtain the rough position of the mining area quickly. Then, the identification network of Mine Types with Transformer (Mitformer) is proposed for accurate type recognition of the candidate mining area regions. Mitformer combines a multiscale feature enhancement module and a decoder based on multilevel skip connections, which achieves a sufficient fusion of features at each layer of deep feature maps and adds the skip connections between low-level and high-level feature maps, thus, can improve the accuracy of types identification and the detection rate of small-scale mining areas. Moreover, this framework can effectively avoid misclassification caused by different objects with similar spectra to the maximum extent possible. This article selects two independent study areas with a large spatial extent, respectively, in Hebei Province and Anhui Province. The imagery utilized for these regions is obtained from Chinese GF-2 and GF-5 satellites. Multiple experiments are conducted to verify the superiority of NDMAI and Mitformer and the effectiveness of this framework. The experimental results illustrate that this framework can provide adequate technical support for the dynamic detection of mineral resources.","2151-1535","","10.1109/JSTARS.2023.3289227","National Key R&D Program of China(grant numbers:2022YFB3903604); Fundamental Research Funds for the Central Universities; Chinese Academy of Surveying and Mapping(grant numbers:AR2212); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10162194","GF-5 spectral index;large-scale scenes;mining area identification;mining area types;semantic segmentation","Indexes;Feature extraction;Vegetation mapping;Data mining;Transformers;Reflectivity;Deep learning","","3","","51","CCBY","26 Jun 2023","","","IEEE","IEEE Journals"
"Utilizing Conditional GANs for Synthesis of Equilibrated Hyperspectral Data to Enhance Classification and Mitigate Majority Class Bias","B. Noor Asmat; H. S. M. Bilal; M. I. Uddin; F. K. Karim; S. M. Mostafa","School of Electrical Engineering and Computer Science, National University of Sciences and Technology (NUST), Islamabad, Pakistan; School of Electrical Engineering and Computer Science, National University of Sciences and Technology (NUST), Islamabad, Pakistan; Institute of Computing, Kohat University of Science and Technology (KUST), Kohat, Khyber Pakhtunkhwa, Pakistan; Department of Computer Sciences, College of Computer and Information Sciences, Princess Nourah bint Abdulrahman University, P.O. Box 84428, Riyadh, Saudi Arabia; Computer Science Department, Faculty of Computers and Information, South Valley University, Qena, Egypt",IEEE Access,"21 Mar 2025","2025","13","","49271","49289","A land cover scene is described by vegetation, urban infrastructure, water bodies, bare soil, and many other physical materials. Satellite imagery and remote sensing techniques analyze the scene for the management of natural resources and environmental changes. Hyperspectral Imaging (HSI) plays a vital role in land cover classification due to its rich spectral information, which captures a broader range of wavelengths. This enhanced spectral data allows for more precise identification and differentiation of land cover types. Imbalanced class distributions in HSI classification hinder rare class performance, as these critical classes are often underrepresented in training data. GANs offer a solution by generating synthetic samples to address this scarcity. However, current GAN-based methods use a static up-sampling mechanism for minority classes and generate samples for even larger classes. Furthermore, these models use the largest class as the scaling factor for minority classes, leading to excessive synthetic sample generation for smaller classes. Although these methods achieve class balance, but often suffer from synthetic bias due to over-reliance on generated samples, especially for minority classes. As a result, this can cause dataset inflation, compromise the authenticity of minority class representations, and potentially degrade the model’s performance on real-world data. To overcome this limitation, we introduce a novel approach that dynamically balances class distributions by leveraging the smallest class size as a scaling factor. Our proposed model, Spectra Balance GAN (SB-GAN), ensures efficient and adaptive sample generation, producing only the necessary synthetic samples while preserving the integrity of the dataset and maintaining a manageable size. The primary novelty of this model lies in its adaptive nature of class balancing mechanism and an integrated conditional GAN to generate only the required samples, ensuring efficient and balanced hyperspectral image classification. The efficacy of the SB-GAN approach has been evaluated using three publicly available datasets: Indian Pines, Pavia University, and Salinas. The approach achieved an average classification accuracy of 99% across these datasets, demonstrating its potential to significantly improve the classification of rare classes in HSI scenes.","2169-3536","","10.1109/ACCESS.2025.3550057","Princess Nourah bint Abdulrahman University Researchers Supporting Project number (PNURSP2025R300), Princess Nourah bint Abdulrahman University, Riyadh, Saudi Arabia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10918977","Hyperspectral imaging;HSI;GAN;cGAN;generative adversarial network;conditional generative adversarial network;down sampling;up sampling;synthetic;augmentation;imbalance class;land cover scene","Land surface;Accuracy;Hyperspectral imaging;Data models;Generative adversarial networks;Generators;Environmental monitoring;Deep learning;Adaptation models;Urban planning","","","","21","CCBYNCND","10 Mar 2025","","","IEEE","IEEE Journals"
"Specific Spectral Target Detection for Multispectral Images via Target-Focused Spectral Super-Resolution","H. Zhang; W. Wang; X. Han; W. Sun","School of Aerospace Engineering, Beijing Institute of Technology, Beijing, China; School of Aerospace Engineering, Beijing Institute of Technology, Beijing, China; School of Mechatronical Engineering, Beijing Institute of Technology, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"21 Mar 2025","2025","18","","7529","7542","Spectral target detection using spectral information provided by hyperspectral (HS) images has been deeply studied. However, due to low spatial resolution and difficulty in obtaining HS images, spectral target detection based on it faces extremely serious problems of small-scale and mixed spectra. To address this problem, taking the more easily obtained high-spatial-resolution multispectral (HMS) image as an appropriate input, this article proposes a specific spectral target detection method through target-focused spectral super-resolution (SSR). Specifically, by taking the given target spectrum and the spectral library as priors, a target-focused SSR model under the sparse representation framework is proposed first, to enrich the spectral information of the HMS image, and to accurately reconstruct the corresponding high-spatial-resolution HS image, especially for the target area. Then, a target-specific band selection strategy is designed, to extract the most distinguishable spectral bands against background, which can enhance the separation between the target and background and help to reduce the false alarm rate of the detection. Finally, a background separation-based spectral target detection method for the selected bands is proposed, to locate the spectral targets directly by using the optimized target sparse coefficient matrix. Experimental results on four different datasets show that, our proposed method achieves the best target detection performance in comparison to other relative state-of-the-art methods, and can even efficiently handle the detection of subpixel-level spectral targets through this unmixing-like spectral dictionary expression.","2151-1535","","10.1109/JSTARS.2025.3547347","National Natural Science Foundation of China(grant numbers:52272358,62103052,41971294,82471999); Beijing Institute of Technology Research Fund Program for Young Scholars of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10909183","Band selection;multispectral (MS) image;spectral super-resolution (SSR);spectral target detection;target focusing","Object detection;Dictionaries;Superresolution;Sparse approximation;Libraries;Image reconstruction;Spatial resolution;Detectors;Accuracy;Sparse matrices","","","","58","CCBYNCND","3 Mar 2025","","","IEEE","IEEE Journals"
"Neuromorphic Signal Classification Using Organic Electrochemical Transistor Array and Spiking Neural Simulations","M. Ghazal; A. Kumar; N. Garg; S. Pecqueur; F. Alibart","CNRS, Centrale Lille, UMR 8520-IEMN, Université de Lille, Université Polytechnique Hautsde-France, Lille, France; CNRS, Centrale Lille, UMR 8520-IEMN, Universite de Lille, Universite Polytechnique Hauts-de-France, Lille, France; CNRS, Centrale Lille, UMR 8520-IEMN, Université de Lille, Université Polytechnique Hautsde-France, Lille, France; CNRS, Centrale Lille, UMR 8520-IEMN, Université de Lille, Université Polytechnique Hautsde-France, Lille, France; CNRS, Centrale Lille, UMR 8520-IEMN, Université de Lille, Université Polytechnique Hautsde-France, Lille, France",IEEE Sensors Journal,"13 Mar 2024","2024","24","6","9104","9114","Neuromorphic computing is an exciting and rapidly growing field that aims to create computing systems that can replicate the complex and dynamic behavior of the human–brain. Organic electrochemical transistors (OECTs) have emerged as a promising tool for developing such systems due to their unique bioelectronic properties. In this article, we present a novel approach for signal classification using an OECT array, which exhibits multifunctional bioelectronic functionality similar to neurons and synapses linked through a global medium. Our approach takes advantage of the intrinsic device variabilities of OECTs to create a reservoir network with variable neuron-time constants and synaptic strengths. We demonstrate the effectiveness of our approach by classifying surface-electromyogram (s-EMG) signals into three hand gesture categories. The OECT array performs efficient signal acquisition by feeding signals through multiple gates and measuring the response to a group of OECTs with a global liquid medium. We compare the performance of our approach with and without projecting the input on OECTs and observe a significant increase in classification accuracy from 40% to 68%. We also examined how the classification performance is affected by different selection strategies and numbers of OECTs used. Finally, we developed a spiking neural network-based simulation that mimics the OECTs array and found that OECT-based classification is comparable to the spiking neural network-based approach. Our work paves the way for the next generation of low-power, real-time, and intelligent biomedical sensing systems.","1558-1748","","10.1109/JSEN.2024.3353307","European Research Council (ERC)-CoG IONOS Project(grant numbers:773228); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10400187","Biosensors;neuromorphic computing;organic electrochemical transistor (OECT);spiking neural networks","Sensor phenomena and characterization;Pattern classification;Biological neural networks;Transistors;Electrodes;Biosensors;Organic electronics;Electrochromic devices;Spiking neural networks","","2","","32","CCBYNCND","15 Jan 2024","","","IEEE","IEEE Journals"
"Initial Access & Beam Alignment for mmWave and Terahertz Communications","W. Attaoui; K. Bouraqia; E. Sabir","LRI Laboratory, NEST Research Group, National Higher School of Electricity and Mechanics (ENSEM), Hassan II University of Casablanca, Casablanca, Morocco; LRI Laboratory, NEST Research Group, National Higher School of Electricity and Mechanics (ENSEM), Hassan II University of Casablanca, Casablanca, Morocco; LRI Laboratory, NEST Research Group, National Higher School of Electricity and Mechanics (ENSEM), Hassan II University of Casablanca, Casablanca, Morocco",IEEE Access,"6 Apr 2022","2022","10","","35363","35397","The initial access in Millimeter wave (mmWave) 5G communications is very challenging and time consuming. In general, mmWave and terahertz communications require the use of directional antennas to seek narrow beams. However, due to this directionality, many issues can impact the beam alignment between transmitter and receiver. In this paper, we present a comprehensive survey of beam alignment and initial access in mmWave and terahertz 5G/6G systems. First, we present a detailed overview of initial access methods, techniques, and beam management procedures. Then, we classify recent works related to beam alignment based on their objective functions (i.e., latency, power allocation, QoS, energy consumption, cost). We also highlight the beam alignment in terahertz 6G, where we find that deep learning and reconfigurable intelligent surface are the two protagonists that help to achieve fast beam alignment.","2169-3536","","10.1109/ACCESS.2022.3161951","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9740656","5G/6G;mmWave;terahertz;beamforming;initial access;beam alignment;beam steering;reconfigurable intelligent surface","5G mobile communication;Terahertz communications;Array signal processing;6G mobile communication;Peer-to-peer computing;Millimeter wave communication;Search methods","","33","","215","CCBY","24 Mar 2022","","","IEEE","IEEE Journals"
"Curved Synthetic Aperture Radar for Near-Field Terahertz Imaging","M. Gezimati; G. Singh","Department of Electrical and Electronic Engineering Science, Centre for Smart Information and Communication Systems, University of Johannesburg, Johannesburg, South Africa; Department of Electrical and Electronic Engineering Science, Centre for Smart Information and Communication Systems, University of Johannesburg, Johannesburg, South Africa",IEEE Photonics Journal,"14 Apr 2023","2023","15","3","1","13","High resolution imaging techniques will play an essential role in the future smart imaging applications to provide potential solutions for accurate detection, monitoring and classification of the target. The potential of synthetic aperture radar (SAR) systems to acquire high resolution images has opened new frontiers and led to its exploration in new applications. The conventional microwave radar imaging suffers limited range resolution in the sub-millimeter wave range and optical imaging methods are constrained by the diffraction limit. In the terahertz (THz) regime of the spectrum, the SAR systems could be operated in all the weather, all the time and are capable of penetrating through clouds, smoke, dust etc. to achieve high resolution images beyond the diffraction limit. The curved SAR presents a SAR system created by circularly encircling the target scene. The Circular SAR and Spiral SAR which are based on a circular and cylindrical spiral scanning trajectory, respectively are the scanning methods used for curved SAR. In this paper, we have explored a new toolbox that enables the rapid development of near-field THz-SAR imaging systems and generation of large near-field THz imaging scenarios with the goal to support and facilitate data driven research such as deep learning in the THz community through synthetically generated SAR images as well as its potential for THz based high resolution and 2D/3D near-field imaging application. Initially, the potential advantages of THz-SAR over Microwave SAR and optical imaging methods are presented. Further, a frequency modulated continuous wave (FMCW) radar testbed is simulated in multi-input multi-output (MIMO) configuration for the target frequency band. Moreover, the circular and cylindrical SAR scanning methods are explored for near-field imaging of point targets to obtain 2D and 3D THz-SAR images, respectively. Also, the radar images are reconstructed using the Back Propagation and Polar Formatting Algorithms, focusing on short range applications like indoor environments. Finally, the SAR performance evaluation metrics are reported and a roadmap for future work is presented.","1943-0655","","10.1109/JPHOT.2023.3264747","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10092939","Synthetic aperture radar (SAR);THz imaging;circular SAR;cylindrical SAR;2D and 3D imaging;near-field;radar image reconstruction;high resolution imaging;reconstruction algorithms;MIMO;FMCW","Imaging;Synthetic aperture radar;Radar imaging;Image resolution;Microwave theory and techniques;Microwave imaging;Radar","","12","","80","CCBY","5 Apr 2023","","","IEEE","IEEE Journals"
"SANet: A Sea–Land Segmentation Network Via Adaptive Multiscale Feature Learning","B. Cui; W. Jing; L. Huang; Z. Li; Y. Lu","College of Computer Science and Engineering, Shandong University of Science and Technology, Qingdao, China; College of Computer Science and Engineering, Shandong University of Science and Technology, Qingdao, China; College of Computer Science and Engineering, Shandong University of Science and Technology, Qingdao, China; College of Computer Science and Engineering, Shandong University of Science and Technology, Qingdao, China; College of Computer Science and Engineering, Shandong University of Science and Technology, Qingdao, China",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"7 Jan 2021","2021","14","","116","126","Sea–land segmentation of remote sensing images is of great significance to the dynamic monitoring of coastlines. However, the types of objects in the coastal zone are complex, and their spectra, textures, shapes, and distribution features are different. Therefore, sea–land segmentation for various types of coastlines is still a challenging task. In this article, a scale-adaptive semantic segmentation network, called SANet, is proposed for sea–land segmentation of remote sensing images. SANet has made two innovations on the basis of the classic encoder–decoder structure. First, to integrate the spectral, textural, and semantic features of ground objects at different scales, we designed an adaptive multiscale feature learning module (AML) to replace the conventional serial convolution operation. The AML module mainly contains a multiscale feature extraction unit and an adaptive feature fusion unit. The former can capture the multiscale detailed information and contextual semantic information of objects from an early stage, while the latter can adaptively fuse feature maps of different scales. Second, we adopted the squeeze-and-excitation module to bridge the corresponding layers of the codec so that SANet can selectively emphasize the features of the weak sea–land boundaries. Experiments on a set of Gaofen-1 remote sensing images demonstrated that SANet achieved more accurate segmentation results and obtained sharper boundaries than other methods for various natural and artificial coastlines.","2151-1535","","10.1109/JSTARS.2020.3040176","National Key Research and Development Program of China Stem Cell and Translational Research(grant numbers:2017YFC1405600); National Natural Science Foundation of China(grant numbers:41 406 200); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9269403","Adaptive learning;atrous convolution;remote sensing image;residual block;sea–land segmentation;squeeze-excitation module","Image segmentation;Feature extraction;Semantics;Convolution;Task analysis;Remote sensing;Adaptation models","","38","","42","CCBY","24 Nov 2020","","","IEEE","IEEE Journals"
"Validation of the DART Model for Airborne Laser Scanner Simulations on Complex Forest Environments","F. de Boissieu; F. Heuschmidt; N. Lauret; D. M. Ebengo; G. Vincent; J. -B. Féret; T. Yin; J. -P. Gastellu-Etchegorry; J. Costeraste; M. -J. Lefèvre-Fonollosa; S. Durrieu","INRAE, AgroParisTech, CIRAD, CNRS, University of Montpellier, TETIS, Montpellier, France; CIRAD, CNRS, INRAE, IRD, AMAP, University of Montpellier, Montpellier, France; CNES, CNRS, UPS, IRD, INRAE, CESBIO, University of Toulouse, Toulouse, France; INRAE, AgroParisTech, CIRAD, CNRS, University of Montpellier, TETIS, Montpellier, France; CIRAD, CNRS, INRAE, IRD, AMAP, University of Montpellier, Montpellier, France; INRAE, AgroParisTech, CIRAD, CNRS, University of Montpellier, TETIS, Montpellier, France; Department of Land Surveying and Geo-Infomatics, The Hong Kong Polytechnic University, Hong Kong; CNES, CNRS, UPS, IRD, INRAE, CESBIO, University of Toulouse, Toulouse, France; Earth Observation Satellite Systems, CNES Toulouse, Toulouse, France; Earth Observation Satellite Systems, CNES Toulouse, Toulouse, France; INRAE, AgroParisTech, CIRAD, CNRS, University of Montpellier, TETIS, Montpellier, France",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"18 Sep 2023","2023","16","","8379","8394","With the recent progresses in lidar technology for Earth remote sensing, the development of a reliable lidar simulator is becoming central in order to define specifications for new sensors, perform intercomparisons, train machine learning algorithms, and help transferring information from one scale to another. The discrete anisotropic radiative transfer (DART) model includes such a lidar simulator. Although already tested on several virtual scenes, the DART outputs still need to be rigorously evaluated against actual sensor acquisitions, especially on real complex scenes of various forest types, such as dense tropical forests. That is the purpose of the present study. A real airborne laser scanner (ALS) with full-waveform capacity was first radiometrically calibrated on targets of measured reflectance. The properties of the ALS system were then introduced in the DART model, along with a 3-D virtual scene built from terrestrial laser scans and spectroscopic measurements acquired on a forest plot near the calibration site. Finally, an ALS acquisition was simulated and the shape and magnitude of the waveforms were compared with real acquisitions. The comparison between measured and simulated data was performed at different scales by aggregating waveform samples into a 3-D grid with a vertical resolution of 1 m and a horizontal resolution ranging from 2 to 80 m. Results showed a high similarity between simulated and measured waveforms at all scales with R2>0.9 and NRMSE<10%. These promising results open up numerous perspectives for improved spaceborne and airborne lidar data processing and for the development of new systems.","2151-1535","","10.1109/JSTARS.2023.3302030","LEAF-EXPEVAL and the HyperTropik/HyperBIO projects; TOSCA Continental Surface Program of the Centre National d'Études Spatiales; Agence Nationale de la Recherche(grant numbers:ANR-17-CE32-0001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10242262","3-D;discrete anisotropic radiative transfer (DART);forest;lidar;point cloud;radiative transfer model;simulation;waveform","Forestry;Optical sensors;Optical reflection;Optical imaging;Optical filters;Optical variables measurement;Laser radar","","4","","63","CCBY","6 Sep 2023","","","IEEE","IEEE Journals"
